uid,scene_id,damage_label,latitude,longitude,street_address,house_number,road,city,county,state,postcode,country,display_name,geocoder_source,geocoder_error
4f994029-6628-438a-9aba-b5c3241cda6b,hurricane-harvey_00000003,major-damage,29.7611413,-95.458505,Riverway,,Riverway,Houston,Harris County,Texas,77056,United States,"Omni Houston Hotel Parking Garage, Riverway, Uptown, Houston, Harris County, Texas, 77056, United States",nominatim,
6ffd4931-2eef-4066-a43d-181c1ee279e3,hurricane-harvey_00000003,minor-damage,29.7587319,-95.4541046,West Loop South Frontage Road,,West Loop South Frontage Road,Houston,Harris County,Texas,77027,United States,"West Loop South Frontage Road, Houston, Harris County, Texas, 77027, United States",nominatim,
8d64bc46-4a78-4d76-8936-5150c7084ca8,hurricane-harvey_00000003,minor-damage,29.7591721,-95.4546347,1001 West Loop South,1001,West Loop South,Houston,Harris County,Texas,77056,United States,"Xerox, 1001, West Loop South, Houston, Harris County, Texas, 77056, United States",nominatim,
f28146ee-4813-4006-81ba-5636c24d14af,hurricane-harvey_00000003,minor-damage,29.7585408,-95.4546503,West Loop South Frontage Road,,West Loop South Frontage Road,Houston,Harris County,Texas,77027,United States,"West Loop South Frontage Road, Houston, Harris County, Texas, 77027, United States",nominatim,
9bc75a7c-eb60-48c3-8b5b-c98dded9e428,hurricane-harvey_00000003,minor-damage,29.7586855,-95.4576587,Uptown Park Boulevard,,Uptown Park Boulevard,Houston,Harris County,Texas,77056,United States,"Uptown Park Boulevard, Uptown, Houston, Harris County, Texas, 77056, United States",nominatim,
a7c78e7b-bf31-43f8-b324-0b311b23205f,hurricane-harvey_00000003,no-damage,29.7578074,-95.4583206,1080 Uptown Park Boulevard,1080,Uptown Park Boulevard,Houston,Harris County,Texas,77056,United States,"Hotel Granduca Houston, 1080, Uptown Park Boulevard, Uptown, Houston, Harris County, Texas, 77056, United States",nominatim,
63ef12ea-d780-4814-bb91-ea33cf0d6353,hurricane-harvey_00000003,no-damage,29.7577097,-95.457077,1111 Uptown Park Boulevard,1111,Uptown Park Boulevard,Houston,Harris County,Texas,77056,United States,"Mendocino Farms, 1111, Uptown Park Boulevard, Uptown, Houston, Harris County, Texas, 77056, United States",nominatim,
d99c8528-f9b1-42f2-b996-1d6d6f4902e1,hurricane-harvey_00000003,no-damage,29.7577649,-95.4565286,1121 Uptown Park Boulevard,1121,Uptown Park Boulevard,Houston,Harris County,Texas,77056,United States,"Linda's Couture Alterations, 1121, Uptown Park Boulevard, Uptown, Houston, Harris County, Texas, 77056, United States",nominatim,
03623244-1d89-426c-9f1e-9d313124ec7b,hurricane-harvey_00000003,major-damage,29.7611537,-95.4591863,4 Riverway,4,Riverway,Houston,Harris County,Texas,77056,United States,"Omni Houston Hotel, 4, Riverway, Uptown, Houston, Harris County, Texas, 77056, United States",nominatim,
44521f03-0b69-4282-a1c3-83eef7afc3e7,hurricane-harvey_00000003,no-damage,29.7589342,-95.4586473,4727 Post Oak Timber Drive,4727,Post Oak Timber Drive,Houston,Harris County,Texas,77056,United States,"4727, Post Oak Timber Drive, Uptown, Houston, Harris County, Texas, 77056, United States",nominatim,
21bf79ae-52ec-469c-b0dd-ca96d68235a9,hurricane-harvey_00000003,no-damage,29.759267,-95.4596076,4798 Post Oak Timber Drive,4798,Post Oak Timber Drive,Houston,Harris County,Texas,77056,United States,"4798, Post Oak Timber Drive, Uptown, Houston, Harris County, Texas, 77056, United States",nominatim,
b118abe7-b5b1-450c-a7e2-36d471c3b693,hurricane-harvey_00000003,no-damage,29.7592058,-95.4592871,4776 Post Oak Timber Drive,4776,Post Oak Timber Drive,Houston,Harris County,Texas,77056,United States,"4776, Post Oak Timber Drive, Uptown, Houston, Harris County, Texas, 77056, United States",nominatim,
abca6560-e04a-449f-9f9f-848a6556cc0e,hurricane-harvey_00000003,no-damage,29.7592552,-95.4592823,4776 Post Oak Timber Drive,4776,Post Oak Timber Drive,Houston,Harris County,Texas,77056,United States,"4776, Post Oak Timber Drive, Uptown, Houston, Harris County, Texas, 77056, United States",nominatim,
f4ce8cda-e80b-42e8-b483-302360d7e6e0,hurricane-harvey_00000003,no-damage,29.7589668,-95.4581948,Uptown Park Boulevard,,Uptown Park Boulevard,Houston,Harris County,Texas,77056,United States,"Uptown Park Boulevard, Uptown, Houston, Harris County, Texas, 77056, United States",nominatim,
e3f3dd1e-b4f8-4a45-be42-dcf1ff6f092c,hurricane-harvey_00000003,no-damage,29.7591556,-95.4586794,4700 Post Oak Timber Drive,4700,Post Oak Timber Drive,Houston,Harris County,Texas,77056,United States,"4700, Post Oak Timber Drive, Uptown, Houston, Harris County, Texas, 77056, United States",nominatim,
61a92788-0592-41e7-93af-9a59633c4a74,hurricane-harvey_00000003,no-damage,29.7591796,-95.4586392,4707 Post Oak Timber Drive,4707,Post Oak Timber Drive,Houston,Harris County,Texas,77056,United States,"4707, Post Oak Timber Drive, Uptown, Houston, Harris County, Texas, 77056, United States",nominatim,
68489c40-a780-4875-b436-ebca404f3f22,hurricane-harvey_00000003,no-damage,29.7593823,-95.4591408,4758 Post Oak Timber Drive,4758,Post Oak Timber Drive,Houston,Harris County,Texas,77056,United States,"4758, Post Oak Timber Drive, Uptown, Houston, Harris County, Texas, 77056, United States",nominatim,
6b615879-85bc-4a1f-922b-f02719902421,hurricane-harvey_00000003,no-damage,29.7593044,-95.4587289,4704 Post Oak Timber Drive,4704,Post Oak Timber Drive,Houston,Harris County,Texas,77056,United States,"4704, Post Oak Timber Drive, Uptown, Houston, Harris County, Texas, 77056, United States",nominatim,
4467c793-2f36-4415-a3fd-c1245636c1b3,hurricane-harvey_00000003,no-damage,29.7593139,-95.4584818,4701 Post Oak Timber Drive,4701,Post Oak Timber Drive,Houston,Harris County,Texas,77056,United States,"4701, Post Oak Timber Drive, Uptown, Houston, Harris County, Texas, 77056, United States",nominatim,
fe70a31b-87d7-4370-9360-ce586ffd1047,hurricane-harvey_00000003,no-damage,29.7595246,-95.4588851,4704 Post Oak Timber Drive,4704,Post Oak Timber Drive,Houston,Harris County,Texas,77056,United States,"4704, Post Oak Timber Drive, Uptown, Houston, Harris County, Texas, 77056, United States",nominatim,
6edaaabd-fe22-4f1e-87f2-2c324a2315de,hurricane-harvey_00000003,no-damage,29.7593639,-95.4586339,4704 Post Oak Timber Drive,4704,Post Oak Timber Drive,Houston,Harris County,Texas,77056,United States,"4704, Post Oak Timber Drive, Uptown, Houston, Harris County, Texas, 77056, United States",nominatim,
