uid,post_subtype,pre_crop_path,post_crop_path,pre_mask_path,post_mask_path,pad_used_px,pre_bbox_xyxy,post_bbox_xyxy,pre_size,post_size
04e09bb7-be36-4166-a202-d599a9591b70,no-damage,C:\Users\ryan\AutomatedDisasterDamageAssessment\outputs\crops\hurricane-harvey_00000033\04e09bb7-be36-4166-a202-d599a9591b70_pre.jpg,C:\Users\ryan\AutomatedDisasterDamageAssessment\outputs\crops\hurricane-harvey_00000033\04e09bb7-be36-4166-a202-d599a9591b70_post.jpg,,,12,"96,817,190,909","96,817,190,909",94x92,94x92
114897cf-649c-43c1-adb8-ba7d071b02b4,minor-damage,C:\Users\ryan\AutomatedDisasterDamageAssessment\outputs\crops\hurricane-harvey_00000033\114897cf-649c-43c1-adb8-ba7d071b02b4_pre.jpg,C:\Users\ryan\AutomatedDisasterDamageAssessment\outputs\crops\hurricane-harvey_00000033\114897cf-649c-43c1-adb8-ba7d071b02b4_post.jpg,,,13,"263,704,306,746","263,704,306,746",43x42,43x42
11955490-ae37-46b0-aa2c-606e0b7d5b06,no-damage,C:\Users\ryan\AutomatedDisasterDamageAssessment\outputs\crops\hurricane-harvey_00000033\11955490-ae37-46b0-aa2c-606e0b7d5b06_pre.jpg,C:\Users\ryan\AutomatedDisasterDamageAssessment\outputs\crops\hurricane-harvey_00000033\11955490-ae37-46b0-aa2c-606e0b7d5b06_post.jpg,,,13,"559,717,605,765","559,717,605,765",46x48,46x48
15293f97-1189-44ce-b27a-0b3dcd6818c2,no-damage,C:\Users\ryan\AutomatedDisasterDamageAssessment\outputs\crops\hurricane-harvey_00000033\15293f97-1189-44ce-b27a-0b3dcd6818c2_pre.jpg,C:\Users\ryan\AutomatedDisasterDamageAssessment\outputs\crops\hurricane-harvey_00000033\15293f97-1189-44ce-b27a-0b3dcd6818c2_post.jpg,,,12,"235,483,290,544","235,483,290,544",55x61,55x61
266d8b49-09cd-4c8d-bd2c-409a86280feb,no-damage,C:\Users\ryan\AutomatedDisasterDamageAssessment\outputs\crops\hurricane-harvey_00000033\266d8b49-09cd-4c8d-bd2c-409a86280feb_pre.jpg,C:\Users\ryan\AutomatedDisasterDamageAssessment\outputs\crops\hurricane-harvey_00000033\266d8b49-09cd-4c8d-bd2c-409a86280feb_post.jpg,,,12,"188,531,258,612","188,531,258,612",70x81,70x81
38233842-43ec-4f27-9de7-5e15492a3f10,no-damage,C:\Users\ryan\AutomatedDisasterDamageAssessment\outputs\crops\hurricane-harvey_00000033\38233842-43ec-4f27-9de7-5e15492a3f10_pre.jpg,C:\Users\ryan\AutomatedDisasterDamageAssessment\outputs\crops\hurricane-harvey_00000033\38233842-43ec-4f27-9de7-5e15492a3f10_post.jpg,,,13,"0,731,46,777","0,731,46,777",46x46,46x46
431b5c56-e51f-4cce-bafe-21e3dbad7a2e,no-damage,C:\Users\ryan\AutomatedDisasterDamageAssessment\outputs\crops\hurricane-harvey_00000033\431b5c56-e51f-4cce-bafe-21e3dbad7a2e_pre.jpg,C:\Users\ryan\AutomatedDisasterDamageAssessment\outputs\crops\hurricane-harvey_00000033\431b5c56-e51f-4cce-bafe-21e3dbad7a2e_post.jpg,,,12,"128,921,189,981","128,921,189,981",61x60,61x60
49229c9f-5a0a-47ab-8ae1-c35e309400ba,minor-damage,C:\Users\ryan\AutomatedDisasterDamageAssessment\outputs\crops\hurricane-harvey_00000033\49229c9f-5a0a-47ab-8ae1-c35e309400ba_pre.jpg,C:\Users\ryan\AutomatedDisasterDamageAssessment\outputs\crops\hurricane-harvey_00000033\49229c9f-5a0a-47ab-8ae1-c35e309400ba_post.jpg,,,13,"250,506,314,592","250,506,314,592",64x86,64x86
56ca97da-518f-44c3-94fb-d71c80bb5efd,minor-damage,C:\Users\ryan\AutomatedDisasterDamageAssessment\outputs\crops\hurricane-harvey_00000033\56ca97da-518f-44c3-94fb-d71c80bb5efd_pre.jpg,C:\Users\ryan\AutomatedDisasterDamageAssessment\outputs\crops\hurricane-harvey_00000033\56ca97da-518f-44c3-94fb-d71c80bb5efd_post.jpg,,,12,"307,422,351,466","307,422,351,466",44x44,44x44
56e4735b-3ea3-42f5-b3b8-b207fcd2d9f1,major-damage,C:\Users\ryan\AutomatedDisasterDamageAssessment\outputs\crops\hurricane-harvey_00000033\56e4735b-3ea3-42f5-b3b8-b207fcd2d9f1_pre.jpg,C:\Users\ryan\AutomatedDisasterDamageAssessment\outputs\crops\hurricane-harvey_00000033\56e4735b-3ea3-42f5-b3b8-b207fcd2d9f1_post.jpg,,,12,"335,293,402,364","335,293,402,364",67x71,67x71
